id,sugar_level,calories,weight,fat,food_color
4364,154.89999999999998 gr,302 cal,41.45 gr,17 gr,Sunset Yellow
4365,93.5 gr,117 cal,1240.93 gr,8 gr,Rose
4366,94.59 gr,620 cal,1061.24 gr,20 gr,Rose
4367,,703 cal,1480.32 gr,14 gr,Purple
4368,35.92 gr,453 cal,1433.38 gr,-2 gr,Black
4369,174.74 gr,443 cal,1226.4 gr,38 gr,Grass Green
4370,133.86 gr,476 cal,883.54 gr,40 gr,Grass Green
4371,104.72 gr,446 cal,1943.81 gr,29 gr,Navy Blue
4372,47.34 gr,480 cal,330.69 gr,5 gr,Navy Blue
4373,,533 cal,404.74 gr,30 gr,Grass Green
4374,93.69999999999999 gr,701 cal,109.09 gr,33 gr,Green
4375,84.21000000000001 gr,93 cal,1041.45 gr,10 gr,Lemon Yellow
4376,61.06999999999999 gr,393 cal,549.93 gr,1 gr,Navy Blue
4377,170.88 gr,587 cal,612.02 gr,37 gr,Coffee
4378,72.43 gr,478 cal,365.15 gr,20 gr,Grass Green
4379,,424 cal,1091.96 gr,5 gr,Rose
4380,62.92999999999999 gr,75 cal,0.83 gr,33 gr,Purple
4381,151.06 gr,696 cal,126.71 gr,47 gr,Green
4382,163.93 gr,400 cal,1206.27 gr,37 gr,Green
4383,-10.64 gr,256 cal,335.3 gr,18 gr,Green
4384,115.11000000000001 gr,495 cal,886.22 gr,30 gr,Navy Blue
4385,160.61 gr,526 cal,1494.33 gr,23 gr,Purple
4386,45.82000000000001 gr,119 cal,1756.81 gr,9 gr,Grass Green
4387,95.7 gr,626 cal,1902.1 gr,45 gr,Grass Green
4388,171.94 gr,514 cal,99.15 gr,23 gr,Black
4389,137.82 gr,593 cal,1806.99 gr,45 gr,Green
4390,91.25999999999999 gr,287 cal,869.76 gr,29 gr,Sunset Yellow
4391,51.56999999999999 gr,295 cal,82.1 gr,19 gr,Rose
4392,111.63 gr,399 cal,414.91 gr,24 gr,Green
4393,117.92 gr,504 cal,137.55 gr,15 gr,Coffee
4394,48.86999999999999 gr,139 cal,1615.93 gr,-2 gr,Navy Blue
4395,88.53999999999999 gr,427 cal,1936.09 gr,26 gr,Navy Blue
4396,110.42 gr,,998.53 gr,31 gr,Sunset Red
4397,-25.569999999999993 gr,89 cal,1841.83 gr,20 gr,Coffee
4398,168.19 gr,638 cal,1455.92 gr,47 gr,Coffee
4399,32.260000000000005 gr,202 cal,411.53 gr,24 gr,Lemon Yellow
4400,97.05999999999999 gr,226 cal,938.86 gr,29 gr,Sunset Yellow
4401,36.58999999999999 gr,432 cal,1882.39 gr,21 gr,Navy Blue
4402,116.71 gr,596 cal,705.58 gr,13 gr,Sunset Yellow
4403,105.79 gr,566 cal,724.52 gr,26 gr,Green
4404,19.36999999999999 gr,168 cal,1320.23 gr,-10 gr,Lemon Yellow
4405,162.25 gr,528 cal,285.99 gr,13 gr,Coffee
4406,121.07 gr,747 cal,890.29 gr,22 gr,Grass Green
4407,76.16000000000001 gr,504 cal,751.01 gr,19 gr,Navy Blue
4408,47.24000000000001 gr,418 cal,956.24 gr,24 gr,Purple
4409,-14.659999999999997 gr,107 cal,209.29 gr,7 gr,Coffee
4410,0.6300000000000097 gr,138 cal,1335.83 gr,-8 gr,Coffee
4411,67.69 gr,619 cal,446.19 gr,26 gr,Lemon Yellow
4412,50.91 gr,433 cal,201.84 gr,30 gr,Lemon Yellow
4413,69.92999999999999 gr,115 cal,858.31 gr,25 gr,Navy Blue
4414,2.700000000000003 gr,361 cal,1048.28 gr,20 gr,Green
4415,117.94 gr,301 cal,175.28 gr,39 gr,Lemon Yellow
4416,92.46000000000001 gr,347 cal,908.46 gr,18 gr,Rose
4417,59.69 gr,173 cal,1135.45 gr,6 gr,Grass Green
4418,150.84 gr,478 cal,1795.46 gr,40 gr,Grass Green
4419,33.58000000000001 gr,461 cal,1581.72 gr,16 gr,Coffee
4420,116.89 gr,601 cal,172.36 gr,40 gr,Purple
4421,16.0 gr,367 cal,1622.95 gr,27 gr,Lemon Yellow
4422,25.97 gr,38 cal,1189.56 gr,30 gr,Navy Blue
4423,115.65 gr,448 cal,38.0 gr,35 gr,Purple
4424,91.07999999999998 gr,413 cal,728.57 gr,2 gr,Rose
4425,100.94 gr,599 cal,385.23 gr,28 gr,Purple
4426,77.85000000000001 gr,346 cal,1451.07 gr,33 gr,Navy Blue
4427,68.7 gr,159 cal,102.9 gr,32 gr,Grass Green
4428,127.05000000000001 gr,481 cal,1957.36 gr,13 gr,Rose
4429,120.10999999999999 gr,679 cal,1145.19 gr,27 gr,Green
4430,,426 cal,697.13 gr,24 gr,Sunset Red
4431,73.09 gr,447 cal,539.0 gr,28 gr,Grass Green
4432,61.58000000000001 gr,318 cal,1815.96 gr,3 gr,Sunset Red
4433,46.02999999999999 gr,22 cal,912.96 gr,0 gr,Black
4434,76.22 gr,121 cal,86.72 gr,5 gr,Sunset Red
4435,73.51 gr,,1839.96 gr,-4 gr,Rose
4436,165.9 gr,500 cal,1895.52 gr,39 gr,Green
4437,116.61 gr,424 cal,425.32 gr,7 gr,Sunset Red
4438,145.69 gr,619 cal,647.03 gr,30 gr,Black
4439,60.67999999999999 gr,25 cal,186.69 gr,18 gr,Sunset Yellow
4440,128.15 gr,649 cal,993.66 gr,29 gr,Coffee
4441,92.31 gr,629 cal,257.26 gr,26 gr,Black
4442,116.72 gr,336 cal,1727.96 gr,45 gr,Coffee
4443,104.84 gr,451 cal,1621.39 gr,21 gr,Sunset Yellow
4444,59.86 gr,337 cal,44.54 gr,22 gr,Purple
4445,13.450000000000003 gr,30 cal,665.23 gr,30 gr,Sunset Red
4446,77.88 gr,32 cal,1002.24 gr,38 gr,Rose
4447,-23.260000000000005 gr,84 cal,58.31 gr,25 gr,Sunset Red
4448,53.599999999999994 gr,,970.69 gr,0 gr,Coffee
4449,32.790000000000006 gr,,1462.78 gr,20 gr,Green
4450,80.16 gr,613 cal,529.13 gr,16 gr,Black
4451,141.54000000000002 gr,578 cal,1522.58 gr,30 gr,Sunset Yellow
4452,25.480000000000004 gr,-20 cal,1711.09 gr,0 gr,Green
4453,60.35000000000001 gr,68 cal,459.6 gr,11 gr,Purple
4454,99.15 gr,19 cal,655.83 gr,8 gr,Rose
4455,41.10000000000001 gr,248 cal,332.79 gr,3 gr,Rose
4456,-2.930000000000007 gr,380 cal,1297.43 gr,6 gr,Green
4457,49.67999999999999 gr,-11 cal,1767.4 gr,22 gr,Green
4458,170.45 gr,459 cal,356.06 gr,25 gr,Green
4459,41.44999999999999 gr,345 cal,581.59 gr,22 gr,Coffee
4460,92.58999999999999 gr,332 cal,1899.13 gr,0 gr,Sunset Red
4461,147.95999999999998 gr,444 cal,158.0 gr,28 gr,Coffee
4462,96.65 gr,741 cal,605.56 gr,23 gr,Grass Green
4463,104.46 gr,471 cal,139.05 gr,24 gr,Grass Green
4464,116.62 gr,451 cal,1242.07 gr,38 gr,Sunset Yellow
4465,172.2 gr,585 cal,128.91 gr,33 gr,Sunset Yellow
4466,131.49 gr,,551.42 gr,32 gr,Lemon Yellow
4467,24.11 gr,240 cal,257.92 gr,23 gr,Sunset Yellow
4468,50.64 gr,124 cal,1710.02 gr,11 gr,Coffee
4469,88.72000000000001 gr,82 cal,233.04 gr,26 gr,Green
4470,4.530000000000001 gr,483 cal,827.46 gr,23 gr,Black
4471,162.3 gr,544 cal,1302.44 gr,39 gr,Sunset Red
4472,158.26 gr,504 cal,1963.97 gr,23 gr,Sunset Yellow
4473,153.45 gr,632 cal,1377.04 gr,30 gr,Purple
4474,18.650000000000006 gr,216 cal,26.7 gr,11 gr,Sunset Red
4475,,419 cal,97.7 gr,25 gr,Rose
4476,169.46 gr,300 cal,1561.53 gr,27 gr,Rose
4477,53.69999999999999 gr,366 cal,516.64 gr,-7 gr,Green
4478,96.08000000000001 gr,478 cal,737.78 gr,49 gr,Green
4479,,595 cal,7.0 gr,22 gr,Rose
4480,160.53 gr,304 cal,792.27 gr,37 gr,Sunset Yellow
4481,154.94 gr,422 cal,1630.79 gr,28 gr,Black
4482,139.87 gr,281 cal,1012.49 gr,21 gr,Sunset Yellow
4483,98.78999999999999 gr,142 cal,,,Coffee
4484,18.260000000000005 gr,80 cal,384.9 gr,20 gr,Grass Green
4485,85.88 gr,690 cal,1514.89 gr,22 gr,Sunset Red
4486,96.18 gr,449 cal,237.06 gr,31 gr,Coffee
4487,48.56 gr,446 cal,133.72 gr,34 gr,Purple
4488,148.75 gr,279 cal,1017.26 gr,33 gr,Purple
4489,145.5 gr,474 cal,414.74 gr,31 gr,Grass Green
4490,28.66000000000001 gr,138 cal,725.58 gr,41 gr,Purple
4491,34.5 gr,25 cal,323.45 gr,10 gr,Sunset Red
4492,79.75 gr,442 cal,887.48 gr,42 gr,Green
4493,151.98 gr,641 cal,1389.93 gr,23 gr,Grass Green
4494,150.73 gr,489 cal,1369.73 gr,23 gr,Purple
4495,89.64000000000001 gr,505 cal,612.56 gr,22 gr,
4496,152.16 gr,633 cal,1234.56 gr,17 gr,Rose
4497,55.45 gr,186 cal,1070.12 gr,19 gr,Sunset Red
4498,167.66 gr,332 cal,1407.14 gr,33 gr,Coffee
4499,172.24 gr,533 cal,1961.43 gr,39 gr,Lemon Yellow
4500,112.94 gr,281 cal,498.54 gr,31 gr,Coffee
4501,97.47 gr,556 cal,1093.02 gr,42 gr,Sunset Yellow
4502,72.67000000000002 gr,21 cal,708.1 gr,11 gr,Grass Green
4503,118.91999999999999 gr,522 cal,472.0 gr,17 gr,Coffee
4504,139.95 gr,575 cal,1780.0 gr,31 gr,Green
4505,128.44 gr,653 cal,253.74 gr,32 gr,Black
4506,63.269999999999996 gr,186 cal,699.47 gr,22 gr,Coffee
4507,96.35999999999999 gr,600 cal,518.56 gr,29 gr,Green
4508,168.62 gr,356 cal,438.46 gr,27 gr,Coffee
4509,123.22 gr,671 cal,126.2 gr,26 gr,Lemon Yellow
4510,136.35 gr,501 cal,829.5 gr,20 gr,Sunset Yellow
4511,129.47 gr,470 cal,26.1 gr,17 gr,Sunset Yellow
4512,23.27000000000001 gr,75 cal,478.33 gr,38 gr,Sunset Red
4513,107.46 gr,498 cal,297.22 gr,33 gr,Black
4514,-5.569999999999993 gr,480 cal,1225.67 gr,24 gr,Black
4515,63.239999999999995 gr,409 cal,1363.43 gr,7 gr,Navy Blue
4516,86.35 gr,454 cal,768.22 gr,41 gr,Grass Green
4517,-6.039999999999992 gr,240 cal,399.94 gr,1 gr,Coffee
4518,70.47 gr,246 cal,226.24 gr,14 gr,Rose
4519,107.33999999999999 gr,755 cal,701.12 gr,18 gr,Sunset Red
4520,84.33 gr,597 cal,1653.38 gr,22 gr,Green
4521,83.38 gr,310 cal,1875.01 gr,34 gr,Grass Green
4522,41.44999999999999 gr,293 cal,1529.26 gr,22 gr,Grass Green
4523,106.43 gr,419 cal,1793.14 gr,21 gr,Coffee
4524,138.63 gr,641 cal,862.63 gr,19 gr,Rose
4525,12.069999999999993 gr,241 cal,1128.38 gr,2 gr,Grass Green
4526,122.41999999999999 gr,292 cal,410.03 gr,14 gr,Black
4527,79.81 gr,275 cal,495.09 gr,32 gr,Sunset Red
4528,,242 cal,388.96 gr,21 gr,Sunset Yellow
4529,39.69 gr,219 cal,453.92 gr,26 gr,Rose
4530,100.91 gr,448 cal,279.79 gr,21 gr,Lemon Yellow
4531,123.73 gr,637 cal,1265.74 gr,27 gr,Sunset Yellow
4532,110.93 gr,590 cal,8.64 gr,25 gr,Purple
4533,80.08 gr,489 cal,1508.34 gr,32 gr,Rose
4534,104.83 gr,401 cal,1471.34 gr,38 gr,Sunset Red
4535,75.76000000000002 gr,531 cal,275.28 gr,-7 gr,Purple
4536,20.599999999999994 gr,269 cal,929.0 gr,22 gr,Rose
4537,59.650000000000006 gr,167 cal,1203.69 gr,24 gr,Navy Blue
4538,28.689999999999984 gr,65 cal,60.08 gr,19 gr,Sunset Yellow
4539,134.55 gr,492 cal,862.47 gr,18 gr,Sunset Yellow
4540,29.909999999999997 gr,209 cal,1040.8 gr,34 gr,Black
4541,104.68 gr,327 cal,725.2 gr,35 gr,Black
4542,,295 cal,869.0 gr,36 gr,Sunset Yellow
4543,12.439999999999998 gr,,1476.0 gr,29 gr,Coffee
4544,62.69 gr,409 cal,425.28 gr,6 gr,Rose
4545,40.03 gr,377 cal,27.27 gr,23 gr,Grass Green
4546,51.28 gr,406 cal,1610.94 gr,38 gr,Rose
4547,78.07 gr,552 cal,807.55 gr,44 gr,Coffee
4548,77.96999999999998 gr,411 cal,369.32 gr,0 gr,Green
4549,77.89 gr,527 cal,1592.74 gr,,Purple
4550,21.22 gr,157 cal,1079.4 gr,-5 gr,Sunset Red
4551,114.58 gr,378 cal,679.09 gr,40 gr,Purple
4552,80.50999999999999 gr,111 cal,1035.03 gr,2 gr,Purple
4553,159.21 gr,273 cal,1010.44 gr,26 gr,Green
4554,65.44 gr,550 cal,1218.16 gr,37 gr,Rose
4555,58.3 gr,320 cal,956.82 gr,28 gr,Rose
4556,127.78999999999999 gr,638 cal,338.34 gr,38 gr,Navy Blue
4557,94.63000000000001 gr,680 cal,586.36 gr,27 gr,Grass Green
4558,147.21 gr,530 cal,707.0 gr,39 gr,Sunset Red
4559,-4.390000000000001 gr,469 cal,462.52 gr,41 gr,Lemon Yellow
4560,144.44 gr,276 cal,1690.06 gr,23 gr,Navy Blue
4561,92.53 gr,174 cal,171.76 gr,3 gr,Navy Blue
4562,116.55 gr,543 cal,1811.87 gr,34 gr,Purple
4563,89.53999999999999 gr,678 cal,1550.24 gr,31 gr,Navy Blue
4564,91.68 gr,221 cal,1350.65 gr,11 gr,Coffee
4565,76.38 gr,431 cal,1558.93 gr,30 gr,Navy Blue
4566,126.93 gr,522 cal,1574.19 gr,31 gr,Sunset Red
4567,65.71000000000001 gr,348 cal,1015.79 gr,2 gr,Green
4568,81.25999999999999 gr,328 cal,1240.19 gr,23 gr,Lemon Yellow
4569,97.69 gr,445 cal,1352.57 gr,7 gr,Sunset Red
4570,39.02999999999999 gr,486 cal,854.52 gr,7 gr,Coffee
4571,86.81 gr,486 cal,456.83 gr,37 gr,Green
4572,57.849999999999994 gr,543 cal,1420.84 gr,13 gr,Black
4573,156.46 gr,373 cal,1782.77 gr,31 gr,Coffee
4574,75.08000000000001 gr,179 cal,348.71 gr,2 gr,Sunset Red
4575,118.23 gr,689 cal,483.15 gr,34 gr,Sunset Yellow
4576,113.64999999999999 gr,340 cal,107.51 gr,27 gr,Sunset Yellow
4577,33.650000000000006 gr,318 cal,222.21 gr,2 gr,Sunset Yellow
4578,41.69000000000001 gr,416 cal,236.16 gr,25 gr,Navy Blue
4579,125.15 gr,336 cal,1147.41 gr,39 gr,Navy Blue
4580,93.47999999999999 gr,111 cal,621.8 gr,15 gr,Sunset Yellow
4581,132.95 gr,602 cal,1871.48 gr,18 gr,Lemon Yellow
4582,24.16000000000001 gr,235 cal,1864.02 gr,29 gr,Sunset Red
4583,145.5 gr,750 cal,1882.13 gr,40 gr,Green
4584,160.94 gr,627 cal,1018.76 gr,39 gr,Navy Blue
4585,47.889999999999986 gr,189 cal,914.08 gr,31 gr,Green
4586,58.96000000000001 gr,317 cal,1069.3 gr,9 gr,Rose
4587,77.89000000000001 gr,395 cal,681.51 gr,32 gr,Green
4588,101.67 gr,364 cal,756.44 gr,22 gr,Rose
4589,154.98000000000002 gr,361 cal,240.6 gr,43 gr,Sunset Yellow
4590,183.6 gr,465 cal,563.48 gr,22 gr,Green
4591,94.05 gr,59 cal,1306.49 gr,23 gr,Black
4592,114.85 gr,298 cal,510.15 gr,30 gr,Green
4593,45.53 gr,165 cal,783.06 gr,11 gr,Black
4594,0.20999999999999375 gr,368 cal,716.79 gr,3 gr,Black
4595,104.16 gr,5 cal,1058.5 gr,18 gr,Sunset Red
4596,132.8 gr,597 cal,1890.15 gr,39 gr,Navy Blue
4597,97.12 gr,477 cal,603.51 gr,36 gr,Navy Blue
4598,122.09 gr,445 cal,509.83 gr,25 gr,Black
4599,4.230000000000004 gr,140 cal,1285.99 gr,19 gr,Navy Blue
4600,90.30000000000001 gr,370 cal,803.33 gr,13 gr,Navy Blue
4601,85.32000000000001 gr,195 cal,531.91 gr,16 gr,Purple
4602,32.92 gr,46 cal,1591.63 gr,12 gr,Black
4603,142.98 gr,515 cal,273.99 gr,29 gr,Grass Green
4604,40.10000000000001 gr,120 cal,948.01 gr,16 gr,Navy Blue
4605,101.85 gr,241 cal,302.58 gr,33 gr,Sunset Yellow
4606,-8.469999999999999 gr,120 cal,1320.18 gr,33 gr,Purple
4607,125.84 gr,737 cal,688.2 gr,21 gr,Coffee
4608,166.77 gr,493 cal,519.61 gr,28 gr,Grass Green
4609,95.13 gr,443 cal,1544.53 gr,26 gr,Rose
4610,104.38 gr,653 cal,1114.86 gr,29 gr,Sunset Yellow
4611,141.15 gr,534 cal,268.66 gr,20 gr,Grass Green
4612,23.60000000000001 gr,224 cal,1814.43 gr,7 gr,Coffee
4613,137.94 gr,405 cal,1016.42 gr,31 gr,Coffee
4614,91.16 gr,615 cal,359.31 gr,21 gr,Purple
4615,148.26999999999998 gr,312 cal,1079.64 gr,24 gr,Rose
4616,77.99000000000001 gr,215 cal,39.94 gr,15 gr,Navy Blue
4617,65.49 gr,385 cal,72.34 gr,19 gr,Navy Blue
4618,113.27000000000001 gr,562 cal,1633.51 gr,29 gr,Navy Blue
4619,31.110000000000014 gr,341 cal,1640.59 gr,13 gr,Black
4620,104.85 gr,482 cal,1523.67 gr,47 gr,Purple
4621,56.31 gr,256 cal,1144.07 gr,21 gr,Black
4622,169.56 gr,619 cal,1103.12 gr,34 gr,Coffee
4623,133.57 gr,669 cal,1009.01 gr,23 gr,Coffee
4624,107.62 gr,509 cal,244.91 gr,49 gr,Purple
4625,67.51 gr,465 cal,704.62 gr,6 gr,Sunset Red
4626,7.849999999999994 gr,240 cal,789.71 gr,16 gr,Green
4627,121.55 gr,514 cal,1471.42 gr,45 gr,Coffee
4628,107.28 gr,402 cal,887.87 gr,25 gr,Sunset Yellow
4629,18.200000000000003 gr,485 cal,863.11 gr,7 gr,Coffee
4630,128.37 gr,290 cal,1026.28 gr,40 gr,Navy Blue
4631,-6.290000000000006 gr,385 cal,82.74 gr,6 gr,Sunset Red
4632,100.25000000000001 gr,229 cal,431.39 gr,-4 gr,Sunset Red
4633,106.56 gr,379 cal,1635.52 gr,50 gr,Green
4634,142.88 gr,583 cal,914.92 gr,43 gr,Sunset Yellow
4635,109.98 gr,400 cal,429.09 gr,38 gr,Navy Blue
4636,81.72 gr,650 cal,357.93 gr,13 gr,Coffee
4637,88.27999999999999 gr,,128.19 gr,13 gr,Coffee
4638,80.94999999999999 gr,544 cal,1833.71 gr,47 gr,Sunset Yellow
4639,64.59 gr,118 cal,1514.14 gr,4 gr,Green
4640,146.6 gr,528 cal,725.02 gr,22 gr,Navy Blue
4641,105.86 gr,423 cal,137.62 gr,45 gr,Purple
4642,85.66 gr,550 cal,1619.64 gr,23 gr,Lemon Yellow
4643,48.8 gr,166 cal,513.99 gr,29 gr,Purple
4644,29.689999999999998 gr,194 cal,1199.31 gr,30 gr,Sunset Yellow
4645,102.02 gr,216 cal,260.47 gr,33 gr,Lemon Yellow
4646,147.68 gr,304 cal,1290.66 gr,33 gr,Black
4647,125.05 gr,561 cal,645.35 gr,29 gr,Rose
4648,168.36 gr,322 cal,997.78 gr,30 gr,Green
4649,35.52999999999999 gr,61 cal,1031.78 gr,16 gr,Sunset Yellow
4650,131.66 gr,674 cal,1480.35 gr,32 gr,Navy Blue
4651,18.029999999999987 gr,363 cal,137.82 gr,20 gr,Sunset Red
4652,139.5 gr,276 cal,408.59 gr,37 gr,Green
4653,27.180000000000007 gr,331 cal,241.15 gr,28 gr,Lemon Yellow
4654,121.5 gr,557 cal,1751.0 gr,35 gr,Black
4655,108.66000000000001 gr,507 cal,2.17 gr,13 gr,Sunset Yellow
4656,70.76 gr,415 cal,1631.38 gr,24 gr,Black
4657,39.019999999999996 gr,518 cal,1886.13 gr,38 gr,Coffee
4658,169.26999999999998 gr,516 cal,1246.42 gr,34 gr,Grass Green
4659,111.97999999999999 gr,468 cal,738.37 gr,37 gr,Navy Blue
4660,-12.960000000000008 gr,264 cal,698.69 gr,4 gr,Rose
4661,132.05 gr,436 cal,1199.35 gr,29 gr,Purple
4662,130.82999999999998 gr,663 cal,557.71 gr,40 gr,Navy Blue
4663,146.51 gr,363 cal,1051.78 gr,18 gr,Navy Blue
4664,78.23 gr,164 cal,440.46 gr,36 gr,Sunset Yellow
4665,74.08999999999999 gr,401 cal,1668.38 gr,,Coffee
4666,73.58 gr,100 cal,532.53 gr,1 gr,Black
4667,128.8 gr,585 cal,193.4 gr,37 gr,Sunset Red
4668,76.35000000000001 gr,371 cal,285.04 gr,32 gr,Rose
4669,135.18 gr,626 cal,1581.6 gr,34 gr,Green
4670,22.519999999999982 gr,431 cal,1596.18 gr,33 gr,Grass Green
4671,100.49000000000001 gr,716 cal,1461.05 gr,33 gr,Sunset Yellow
4672,93.03999999999999 gr,-18 cal,963.03 gr,9 gr,Coffee
4673,87.62 gr,618 cal,1930.26 gr,27 gr,Rose
4674,177.39 gr,393 cal,1217.78 gr,23 gr,Navy Blue
4675,31.80000000000001 gr,168 cal,149.81 gr,36 gr,Purple
4676,45.760000000000005 gr,470 cal,1755.3 gr,30 gr,Sunset Yellow
4677,110.78 gr,696 cal,1487.31 gr,28 gr,Green
4678,-11.150000000000006 gr,510 cal,632.59 gr,13 gr,Grass Green
4679,141.59 gr,408 cal,1944.98 gr,33 gr,Sunset Red
4680,142.2 gr,508 cal,1968.47 gr,49 gr,Grass Green
4681,2.6300000000000097 gr,302 cal,1459.23 gr,3 gr,Black
4682,155.3 gr,467 cal,941.12 gr,36 gr,Purple
4683,139.53 gr,421 cal,313.96 gr,32 gr,Coffee
4684,131.11 gr,482 cal,1413.76 gr,18 gr,Sunset Red
4685,69.59 gr,361 cal,407.02 gr,-6 gr,Lemon Yellow
4686,48.510000000000005 gr,373 cal,389.3 gr,39 gr,Black
4687,57.56999999999999 gr,133 cal,198.22 gr,18 gr,Rose
4688,78.9 gr,574 cal,266.03 gr,29 gr,Sunset Yellow
4689,92.44999999999999 gr,445 cal,203.34 gr,27 gr,Rose
4690,114.36 gr,541 cal,1149.57 gr,25 gr,Navy Blue
4691,126.96 gr,600 cal,1764.13 gr,25 gr,Navy Blue
4692,110.97 gr,349 cal,1942.57 gr,5 gr,Sunset Red
4693,24.679999999999993 gr,306 cal,283.72 gr,31 gr,Sunset Red
4694,179.11 gr,407 cal,967.01 gr,18 gr,Purple
4695,109.82000000000001 gr,737 cal,1135.02 gr,39 gr,Coffee
4696,112.03999999999999 gr,770 cal,1473.28 gr,31 gr,Rose
4697,37.59 gr,138 cal,1953.87 gr,2 gr,Navy Blue
4698,56.00999999999999 gr,79 cal,169.88 gr,6 gr,Coffee
4699,84.24000000000001 gr,612 cal,136.62 gr,20 gr,Green
4700,144.81 gr,514 cal,457.89 gr,42 gr,Green
4701,99.91 gr,385 cal,351.9 gr,37 gr,Grass Green
4702,120.48 gr,534 cal,1932.76 gr,27 gr,Black
4703,97.06 gr,392 cal,1470.29 gr,11 gr,Purple
4704,111.94 gr,250 cal,225.2 gr,12 gr,Navy Blue
4705,164.58 gr,450 cal,429.97 gr,19 gr,Rose
4706,134.25 gr,733 cal,336.16 gr,42 gr,Rose
4707,61.98 gr,607 cal,547.9 gr,24 gr,Sunset Red
4708,130.74 gr,798 cal,1914.94 gr,37 gr,Navy Blue
4709,60.34 gr,23 cal,1849.79 gr,35 gr,Lemon Yellow
4710,110.38000000000001 gr,497 cal,935.6 gr,37 gr,Grass Green
4711,81.78999999999999 gr,424 cal,104.03 gr,36 gr,Sunset Yellow
4712,126.78 gr,527 cal,60.55 gr,43 gr,Grass Green
4713,91.19 gr,698 cal,1213.13 gr,31 gr,Sunset Yellow
4714,54.8 gr,220 cal,1333.46 gr,28 gr,Purple
4715,-6.3799999999999955 gr,269 cal,1604.98 gr,-11 gr,Sunset Red
4716,129.7 gr,621 cal,255.94 gr,24 gr,Purple
4717,135.38 gr,576 cal,1276.79 gr,40 gr,Black
4718,105.01 gr,666 cal,1579.82 gr,34 gr,Navy Blue
4719,118.07999999999998 gr,164 cal,1694.53 gr,23 gr,Grass Green
4720,55.43000000000001 gr,312 cal,917.52 gr,22 gr,Black
4721,130.5 gr,792 cal,490.41 gr,36 gr,Green
4722,108.19 gr,541 cal,1092.56 gr,33 gr,Purple
4723,113.12 gr,20 cal,1039.01 gr,33 gr,Sunset Red
4724,59.69999999999999 gr,162 cal,604.18 gr,18 gr,Coffee
4725,10.439999999999998 gr,63 cal,1490.57 gr,5 gr,Black
4726,40.72 gr,229 cal,1330.8 gr,18 gr,Navy Blue
4727,114.88 gr,230 cal,693.5 gr,45 gr,Sunset Red
4728,104.75999999999999 gr,454 cal,1128.42 gr,30 gr,Sunset Yellow
4729,-5.530000000000001 gr,434 cal,1227.31 gr,1 gr,Coffee
4730,87.16000000000001 gr,131 cal,1832.52 gr,41 gr,Purple
4731,60.34000000000002 gr,248 cal,560.55 gr,32 gr,Black
4732,48.16000000000001 gr,69 cal,1357.47 gr,-8 gr,Rose
4733,37.92 gr,290 cal,1869.66 gr,9 gr,Green
4734,158.94 gr,415 cal,1962.65 gr,40 gr,Black
4735,173.84 gr,545 cal,395.32 gr,22 gr,Coffee
4736,70.88 gr,532 cal,684.98 gr,37 gr,Sunset Yellow
4737,178.12 gr,662 cal,1136.88 gr,17 gr,Grass Green
4738,64.42 gr,487 cal,1831.0 gr,9 gr,
4739,49.25 gr,403 cal,969.53 gr,-3 gr,Black
4740,78.67 gr,366 cal,780.49 gr,15 gr,Sunset Red
4741,156.06 gr,334 cal,982.78 gr,29 gr,Sunset Red
4742,58.17999999999999 gr,372 cal,686.49 gr,0 gr,Sunset Red
4743,124.94999999999999 gr,309 cal,1618.84 gr,36 gr,Black
4744,17.49000000000001 gr,248 cal,1085.09 gr,,Black
4745,17.72999999999999 gr,400 cal,359.11 gr,-3 gr,Sunset Red
4746,167.20999999999998 gr,299 cal,1522.89 gr,42 gr,Green
4747,148.23000000000002 gr,676 cal,835.07 gr,26 gr,Navy Blue
4748,110.29 gr,534 cal,173.45 gr,43 gr,Rose
4749,50.17 gr,330 cal,291.8 gr,31 gr,Sunset Yellow
4750,163.28 gr,628 cal,1794.9 gr,25 gr,Coffee
4751,118.50999999999999 gr,496 cal,287.33 gr,20 gr,Coffee
4752,58.61 gr,208 cal,994.81 gr,6 gr,Purple
4753,93.75 gr,672 cal,1275.48 gr,15 gr,Navy Blue
4754,132.92000000000002 gr,549 cal,1365.6 gr,37 gr,Navy Blue
4755,131.23 gr,318 cal,1301.21 gr,37 gr,Purple
4756,72.51 gr,538 cal,1597.33 gr,15 gr,Lemon Yellow
4757,30.370000000000005 gr,212 cal,1235.97 gr,7 gr,Purple
4758,97.02 gr,428 cal,284.03 gr,33 gr,Navy Blue
4759,117.6 gr,522 cal,1474.08 gr,40 gr,Navy Blue
4760,36.040000000000006 gr,196 cal,1886.16 gr,33 gr,Rose
4761,79.17 gr,409 cal,910.59 gr,28 gr,Lemon Yellow
4762,48.500000000000014 gr,173 cal,154.0 gr,22 gr,Coffee
4763,8.489999999999995 gr,380 cal,1113.8 gr,24 gr,Black
4764,-5.689999999999998 gr,423 cal,1480.74 gr,10 gr,Grass Green
4765,93.94 gr,437 cal,664.12 gr,47 gr,Black
4766,137.17000000000002 gr,768 cal,1885.97 gr,36 gr,Rose
4767,23.48999999999998 gr,320 cal,1006.65 gr,24 gr,Sunset Yellow
4768,142.53 gr,,500.05 gr,31 gr,Rose
